Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1,""100n"",""C_0402_1005Metric"",148.325000,-88.550000,-90.000000,top"
"C2,""47u"",""CP_Elec_5x5.4"",147.575000,-83.250000,90.000000,top"
"C3,""100n"",""C_0402_1005Metric"",192.450000,-101.000000,90.000000,top"
"C4,""100n"",""C_0402_1005Metric"",151.075000,-90.375000,180.000000,top"
"C5,""100n"",""C_0402_1005Metric"",157.050000,-95.625000,-90.000000,top"
"C6,""22u"",""CP_Elec_5x5.4"",159.350000,-91.450000,90.000000,top"
"C7,""100n"",""C_0402_1005Metric"",164.975001,-124.725000,0.000000,top"
"C8,""100n"",""C_0402_1005Metric"",190.500000,-119.620000,90.000000,top"
"C9,""100n"",""C_0402_1005Metric"",161.100000,-111.925000,45.000000,top"
"C10,""10u"",""C_0402_1005Metric"",159.931604,-118.488675,-135.000000,top"
"C11,""100n"",""C_0402_1005Metric"",159.175000,-117.725000,-135.000000,top"
"C12,""10u"",""C_0402_1005Metric"",155.586325,-118.681604,-45.000000,top"
"C13,""100n"",""C_0402_1005Metric"",156.350000,-117.925000,-45.000000,top"
"C14,""10u"",""C_0402_1005Metric"",152.680000,-107.200000,0.000000,top"
"C15,""100n"",""C_0402_1005Metric"",152.675000,-108.350000,0.000000,top"
"C16,""100n"",""C_0402_1005Metric"",164.900001,-115.250000,0.000000,top"
"C17,""100n"",""C_0402_1005Metric"",163.475000,-88.100000,-90.000000,top"
"D1,""LED"",""LED_0402_1005Metric"",140.125000,-82.125000,-90.000000,top"
"D2,""LED"",""LED_0402_1005Metric"",141.350000,-82.125000,-90.000000,top"
"D3,""LED"",""LED_0402_1005Metric"",142.575000,-82.125000,-90.000000,top"
"D4,""15V"",""D_0402_1005Metric"",145.100000,-86.925000,180.000000,top"
"IC1,""RY8310"",""SOT-23-6"",151.075000,-88.050000,180.000000,top"
"J1,""Barrel_Jack_Switch"",""BarrelJack_CUI_PJ-063AH_Horizontal"",141.375000,-92.500000,-90.000000,top"
"J3,""RJ45_HR911105A"",""RJ45_Bel_SI-60062-F"",146.520000,-109.430000,-90.000000,top"
"J4,""Conn_01x04_Female"",""JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical"",174.825000,-97.050000,90.000000,top"
"J5,""Conn_01x04_Female"",""JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical"",181.300000,-97.100000,90.000000,top"
"J6,""Conn_01x04_Female"",""PhoenixContact_GMSTBA_2,5_4-G-7,62_1x04_P7.62mm_Horizontal"",196.120500,-116.078000,90.000000,top"
"J7,""Conn_01x06_Female"",""PinHeader_1x06_P2.54mm_Vertical"",142.805000,-129.775000,90.000000,top"
"J8,""Conn_01x02_Female"",""PinHeader_1x02_P2.54mm_Vertical"",181.450000,-103.125000,-90.000000,top"
"J10,""Conn_01x04_Female"",""PinHeader_1x04_P2.54mm_Vertical"",190.875000,-107.850000,0.000000,top"
"L1,""4.7u"",""L_0630"",151.775000,-94.500000,0.000000,top"
"L2,""L_Ferrite"",""C_0402_1005Metric"",152.675000,-106.050000,180.000000,top"
"M1,""P-CHANNEL-MOSFET"",""DFN-8-1EP_3x3mm_P0.5mm_EP1.65x2.38mm"",145.375000,-90.875000,-90.000000,top"
"M2,""P-CHANNEL-MOSFET"",""DFN-8-1EP_3x3mm_P0.5mm_EP1.65x2.38mm"",154.175000,-81.025000,0.000000,top"
"Q1,""Q_NPN_BEC"",""SOT-23"",152.500000,-84.525000,180.000000,top"
"R1,""R"",""R_0402_1005Metric"",140.125000,-84.500000,90.000000,top"
"R2,""R"",""R_0402_1005Metric"",141.350000,-84.500000,90.000000,top"
"R3,""R"",""R_0402_1005Metric"",142.575000,-84.500000,90.000000,top"
"R4,""100k"",""R_0402_1005Metric"",144.100000,-88.050000,180.000000,top"
"R5,""4k7"",""R_0402_1005Metric"",155.125000,-85.985000,90.000000,top"
