Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,151.5,-111.3,90.0,top
C2,100n,C_0402_1005Metric,149.9,-101.8,-90.0,top
C3,10u,C_0402_1005Metric,148.45,-105.85,180.0,top
C4,100n,C_0402_1005Metric,147.95,-101.8,-90.0,top
C5,100n,C_0402_1005Metric,133.75,-105.1,180.0,top
J1,Conn_01x04_Female,"PhoenixContact_GMSTBA_2,5_4-G-7,62_1x04_P7.62mm_Horizontal",159.1225,-110.73,90.0,top
J2,Conn_01x04_Female,"PhoenixContact_GMSTBA_2,5_4-G-7,62_1x04_P7.62mm_Horizontal",130.0525,-87.87,-90.0,top
J3,Conn_01x04_Female,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,148.9,-89.45,0.0,top
Q1,AO3401A,SOT-23,154.2,-110.8,180.0,top
Q2,Q_NPN_BEC,TSOT-23,148.725,-96.5,270.0,top
Q3,Q_NPN_BEC,TSOT-23,139.825,-96.5,270.0,top
Q4,AO3400A,SOT-23,150.925,-93.4,270.0,top
Q5,AO3400A,SOT-23,142.125,-93.4,270.0,top
Q6,Q_NPN_BEC,TSOT-23,144.325,-96.5,270.0,top
Q7,AO3400A,SOT-23,146.525,-93.4,270.0,top
R1,1k,C_0402_1005Metric,153.3,-98.7,0.0,top
R2,100k,C_0402_1005Metric,153.8,-108.4,0.0,top
R3,1k,C_0402_1005Metric,146.6,-96.4,-90.0,top
R4,1k,C_0402_1005Metric,137.5,-96.4,-90.0,top
R5,1k,C_0402_1005Metric,148.725,-92.9,-90.0,top
R6,1k,C_0402_1005Metric,139.825,-92.9,-90.0,top
R7,NC,C_0402_1005Metric,136.125,-104.639999,0.0,top
R8,1k,C_0402_1005Metric,142.1,-96.4,-90.0,top
R9,1k,C_0402_1005Metric,144.325,-92.9,-90.0,top
U1,L7805,TO-252-2,145.1,-110.1,0.0,top
U2,MAX485E,SOIC-8_3.9x4.9mm_P1.27mm,153.3,-103.4,0.0,top
U3,WS2811,SOIC-8_3.9x4.9mm_P1.27mm,143.5,-103.2,270.0,top
U4,MAX485E,SOIC-8_3.9x4.9mm_P1.27mm,136.125,-109.44,0.0,top
